Family,Run,TN,FN,TP,FP
alureon,0,49,0,50,1
alureon,1,48,0,50,2
alureon,2,49,0,50,1
alureon,3,48,0,50,2
alureon,4,49,1,49,1
alureon,5,49,0,50,1
alureon,6,48,0,50,2
alureon,7,48,3,47,2
alureon,8,50,0,50,0
alureon,9,48,1,49,2
alureon,10,50,2,48,0
alureon,11,49,1,49,1
alureon,12,50,0,50,0
alureon,13,48,1,49,2
alureon,14,48,0,50,2
alureon,15,48,0,50,2
alureon,16,47,0,50,3
alureon,17,49,0,50,1
alureon,18,49,0,50,1
alureon,19,50,1,49,0
alureon,20,49,0,50,1
alureon,21,50,2,48,0
alureon,22,49,3,47,1
alureon,23,49,1,49,1
alureon,24,49,1,49,1
alureon,25,49,0,50,1
alureon,26,48,1,49,2
alureon,27,49,0,50,1
alureon,28,49,0,50,1
alureon,29,46,0,50,4
bamital,0,48,0,50,2
bamital,1,48,0,50,2
bamital,2,49,0,50,1
bamital,3,49,0,50,1
bamital,4,49,0,50,1
bamital,5,50,0,50,0
bamital,6,48,0,50,2
bamital,7,48,0,50,2
bamital,8,50,0,50,0
bamital,9,48,0,50,2
bamital,10,49,0,50,1
bamital,11,50,0,50,0
bamital,12,50,0,50,0
bamital,13,49,0,50,1
bamital,14,50,0,50,0
bamital,15,49,0,50,1
bamital,16,49,0,50,1
bamital,17,48,0,50,2
bamital,18,49,0,50,1
bamital,19,49,0,50,1
bamital,20,50,0,50,0
bamital,21,49,0,50,1
bamital,22,48,0,50,2
bamital,23,50,0,50,0
bamital,24,48,0,50,2
bamital,25,49,0,50,1
bamital,26,48,0,50,2
bamital,27,48,0,50,2
bamital,28,49,0,50,1
bamital,29,46,0,50,4
banjori,0,49,1,49,1
banjori,1,47,4,46,3
banjori,2,49,1,49,1
banjori,3,49,1,49,1
banjori,4,49,3,47,1
banjori,5,50,2,48,0
banjori,6,48,1,49,2
banjori,7,49,4,46,1
banjori,8,49,0,50,1
banjori,9,48,1,49,2
banjori,10,49,1,49,1
banjori,11,50,0,50,0
banjori,12,50,3,47,0
banjori,13,49,1,49,1
banjori,14,49,1,49,1
banjori,15,48,1,49,2
banjori,16,48,3,47,2
banjori,17,48,2,48,2
banjori,18,49,3,47,1
banjori,19,50,2,48,0
banjori,20,49,0,50,1
banjori,21,50,2,48,0
banjori,22,48,3,47,2
banjori,23,50,4,46,0
banjori,24,48,0,50,2
banjori,25,50,1,49,0
banjori,26,47,0,50,3
banjori,27,49,1,49,1
banjori,28,49,3,47,1
banjori,29,45,0,50,5
bedep,0,50,0,50,0
bedep,1,48,1,49,2
bedep,2,50,0,50,0
bedep,3,50,0,50,0
bedep,4,49,0,50,1
bedep,5,49,0,50,1
bedep,6,48,0,50,2
bedep,7,50,0,50,0
bedep,8,50,1,49,0
bedep,9,48,0,50,2
bedep,10,49,0,50,1
bedep,11,49,0,50,1
bedep,12,49,0,50,1
bedep,13,49,0,50,1
bedep,14,50,0,50,0
bedep,15,49,0,50,1
bedep,16,47,0,50,3
bedep,17,49,0,50,1
bedep,18,49,0,50,1
bedep,19,49,0,50,1
bedep,20,50,0,50,0
bedep,21,50,0,50,0
bedep,22,48,0,50,2
bedep,23,50,0,50,0
bedep,24,48,1,49,2
bedep,25,49,0,50,1
bedep,26,49,1,49,1
bedep,27,49,0,50,1
bedep,28,49,0,50,1
bedep,29,45,0,50,5
charbot,0,49,11,39,1
charbot,1,47,9,41,3
charbot,2,49,12,38,1
charbot,3,48,13,37,2
charbot,4,49,12,38,1
charbot,5,49,10,40,1
charbot,6,48,15,35,2
charbot,7,48,11,39,2
charbot,8,50,9,41,0
charbot,9,48,3,47,2
charbot,10,49,11,39,1
charbot,11,49,16,34,1
charbot,12,49,7,43,1
charbot,13,49,11,39,1
charbot,14,50,10,40,0
charbot,15,49,12,38,1
charbot,16,50,11,39,0
charbot,17,49,11,39,1
charbot,18,49,19,31,1
charbot,19,49,11,39,1
charbot,20,50,16,34,0
charbot,21,50,8,42,0
charbot,22,48,14,36,2
charbot,23,50,10,40,0
charbot,24,49,16,34,1
charbot,25,50,19,31,0
charbot,26,48,10,40,2
charbot,27,48,7,43,2
charbot,28,49,11,39,1
charbot,29,45,13,37,5
chinad,0,50,0,50,0
chinad,1,48,0,50,2
chinad,2,49,0,50,1
chinad,3,47,0,50,3
chinad,4,49,0,50,1
chinad,5,48,0,50,2
chinad,6,49,0,50,1
chinad,7,50,0,50,0
chinad,8,49,0,50,1
chinad,9,48,0,50,2
chinad,10,50,0,50,0
chinad,11,49,0,50,1
chinad,12,49,0,50,1
chinad,13,49,0,50,1
chinad,14,48,0,50,2
chinad,15,49,0,50,1
chinad,16,48,0,50,2
chinad,17,47,0,50,3
chinad,18,49,0,50,1
chinad,19,49,0,50,1
chinad,20,50,0,50,0
chinad,21,50,0,50,0
chinad,22,49,0,50,1
chinad,23,50,0,50,0
chinad,24,47,0,50,3
chinad,25,50,0,50,0
chinad,26,47,0,50,3
chinad,27,49,0,50,1
chinad,28,49,0,50,1
chinad,29,45,0,50,5
conficker,0,48,14,36,2
conficker,1,49,6,44,1
conficker,2,49,8,42,1
conficker,3,47,10,40,3
conficker,4,49,9,41,1
conficker,5,50,9,41,0
conficker,6,48,12,38,2
